name,last_rs,high_rs,low_rs,last_usd,high_usd,low_usd,chg,chg_perc,vol,time
RUMO ON NM,19.47,99.429396,20.0,102.136,19.1,97.53988,+0.09,+0.46%,9.06M,09/04
AMBEV S/A ON,12.1,61.79228,12.68,64.754224,12.1,61.79228,-0.21,-1.71%,23.70M,09/04
BRASIL ON,29.65,151.41662,30.84,157.493712,29.47,150.49739599999998,-0.08,-0.27%,17.45M,09/04
BRADESCO PN EJ N1Â ,22.39,114.341252,23.27,118.835236,22.27,113.72843599999999,-0.01,-0.04%,37.62M,09/04
BRADESPAR PN,28.61,146.105548,30.11,153.765748,28.42,145.135256,-0.77,-2.62%,2.58M,09/04
BRF SA ON,18.04,92.12667199999999,18.79,95.95677199999999,17.39,88.807252,+0.64,+3.68%,11.63M,09/04
BRASKEM PNA,16.29,83.18977199999999,17.15,87.58161999999999,15.95,81.45345999999999,-0.22,-1.33%,3.53M,09/04
BR MALLS PAR ON,9.45,48.25926,10.21,52.140428,9.27,47.340036,-0.50,-5.03%,17.03M,09/04
B2W DIGITAL ON,57.73,294.815564,62.79,320.65597199999996,57.09,291.547212,-3.66,-5.96%,3.11M,09/04
B3 SA Brasil Bolsa Balcao,39.01,199.21626799999999,39.87,203.60811599999997,38.06,194.364808,-0.30,-0.76%,15.19M,09/04
CCR SA ON,12.81,65.418108,13.29,67.869372,12.24,62.507232,+0.41,+3.31%,9.44M,09/04
CIELO ON,4.83,24.665844,5.12,26.146816,4.6,23.491279999999996,-0.19,-3.78%,27.00M,09/04
CEMIG PN,9.17,46.829356,9.55,48.76994,9.03,46.11440399999999,+0.30,+3.38%,15.45M,09/04
COSAN ON,51.57,263.35767599999997,55.05,281.12933999999996,51.41,262.54058799999996,-1.74,-3.26%,1.26M,09/04
SID NACIONAL ON,7.17,36.615756,7.75,39.5777,7.16,36.564688,-0.24,-3.24%,10.67M,09/04
CYRELA REALT ON,14.6,74.55928,15.6,79.66608,14.26,72.82296799999999,+0.25,+1.74%,10.50M,09/04
ECORODOVIAS ON,10.7,54.642759999999996,11.12,56.78761599999999,10.13,51.731884,+0.57,+5.63%,5.84M,09/04
ELETROBRAS ON,25.26,128.997768,26.6,135.84088,23.99,122.51213199999998,+1.27,+5.29%,8.51M,09/04
ELETROBRAS PNB,28.34,144.726712,29.23,149.271764,26.83,137.01544399999997,+1.39,+5.16%,3.64M,09/04
EMBRAER ON,9.63,49.178484000000005,9.74,49.740232,9.27,47.340036,+0.29,+3.10%,4.51M,09/04
ENERGIAS BR ON,16.13,82.37268399999999,16.66,85.07928799999999,16.07,82.066276,+0.19,+1.19%,2.99M,09/04
EQUATORIAL ON,18.33,93.607644,18.67,95.343956,17.7,90.39035999999999,+0.81,+4.62%,18.29M,09/04
YDUQS Part ON,27.05,138.13894,28.3,144.52244,26.5,135.3302,-0.40,-1.46%,2.56M,09/04
FLEURY ON,21.55,110.05154,22.3,113.88164,21.42,109.387656,-0.35,-1.60%,2.14M,09/04
GERDAU PN N1,10.7,54.642759999999996,11.38,58.115384,10.55,53.87674,-0.35,-3.17%,26.46M,09/04
GERDAU MET PN,4.72,24.104096,5.05,25.78934,4.68,23.899824,-0.17,-3.48%,16.11M,09/04
GOL PN N2,11.63,59.392084000000004,12.88,65.775584,11.43,58.370723999999996,-0.36,-3.00%,14.55M,09/04
CIA HERING ON,14.45,73.79325999999999,15.35,78.38937999999999,14.0,71.4952,+0.52,+3.73%,3.13M,09/04
HYPERMARCAS ON,31.46,160.659928,32.54,166.17527199999998,31.23,159.485364,-0.66,-2.05%,2.12M,09/04
IGUATEMI ON,30.52,155.859536,32.69,166.94129199999998,30.45,155.50206,-1.48,-4.63%,1.16M,09/04
ITAUSA PN,9.24,47.186832,9.6,49.025279999999995,9.22,47.084696,-0.08,-0.86%,23.27M,09/04
ITAUUNIBANCOPN EB N1,23.5,120.0098,24.7,126.13795999999999,23.5,120.0098,-0.68,-2.81%,37.09M,09/04
JBS ON,19.0,97.0292,19.84,101.318912,19.0,97.0292,-0.36,-1.86%,24.79M,09/04
LOJAS AMERIC PN,21.3,108.77484,22.75,116.1797,21.09,107.702412,-0.68,-3.09%,8.70M,09/04
LOJAS RENNER ON,36.58,186.80674399999998,39.28,200.595104,36.58,186.80674399999998,-1.17,-3.10%,10.78M,09/04
MAGAZ LUIZA ON,41.65,212.69822,43.7,223.16716,41.27,210.75763600000002,-0.30,-0.72%,12.90M,09/04
MARFRIG ON,8.86,45.246247999999994,9.23,47.135764,8.8,44.939840000000004,-0.09,-1.01%,8.52M,09/04
MRV ON,13.36,68.22684799999999,13.79,70.422772,12.91,65.928788,+0.45,+3.49%,4.54M,09/04
MULTIPLAN ON,19.56,99.88900799999999,21.0,107.24279999999999,19.49,99.53153199999998,-0.61,-3.02%,9.63M,09/04
NATURA ON,28.98,147.99506399999999,30.98,158.208664,28.77,146.92263599999998,-1.13,-3.75%,10.02M,09/04
PETROBRAS ON,16.86,86.10064799999999,18.77,95.854636,16.73,85.436764,-0.64,-3.66%,43.88M,09/04
PETROBRAS PN,16.82,85.896376,18.66,95.29288799999999,16.5,84.26219999999999,-0.50,-2.89%,184.87M,09/04
QUALICORP ON,24.05,122.81854,25.74,131.449032,24.05,122.81854,-1.16,-4.60%,3.29M,09/04
LOCALIZA ON,30.15,153.97001999999998,33.6,171.58848,30.11,153.765748,-1.75,-5.49%,14.46M,09/04
SANTANDER BR UNT,27.58,140.845544,28.61,146.105548,27.47,140.283796,-0.19,-0.68%,1.60M,09/04
SABESP ON,41.78,213.362104,42.5,217.039,40.15,205.03802,+1.38,+3.42%,4.38M,09/04
SUL AMERICA UNT,39.3,200.69723999999997,41.82,213.566376,39.3,200.69723999999997,-1.45,-3.56%,3.45M,09/04
ENGIE BRASILON NM,39.27,200.544036,40.22,205.39549599999998,38.73,197.78636399999996,+0.31,+0.80%,1.73M,09/04
TIM PART S/A ON,13.31,67.971508,13.68,69.861024,13.21,67.460828,-0.23,-1.70%,5.58M,09/04
TOTVS ON,53.75,274.4905,57.78,295.070904,53.75,274.4905,-0.74,-1.36%,3.63M,09/04
TAESA UNT,26.76,136.657968,27.54,140.641272,26.64,136.045152,-0.28,-1.04%,2.65M,09/04
ULTRAPAR ON NM,14.25,72.7719,14.6,74.55928,13.72,70.065296,+0.53,+3.86%,9.86M,09/04
USIMINAS PNA,4.33,22.112444,4.64,23.695551999999996,4.26,21.754967999999998,-0.06,-1.37%,19.47M,09/04
VALE ON,43.28,221.022304,44.47,227.09939599999998,42.86,218.877448,-0.23,-0.53%,29.80M,09/04
TELEF BRASIL PN,50.8,259.42544,53.6,273.72447999999997,50.8,259.42544,-1.68,-3.20%,1.86M,09/04
WEG ON,38.3,195.59043999999997,41.4,211.42152,38.2,195.07976,-1.69,-4.23%,6.32M,09/04
Cogna Educacao,4.58,23.389143999999998,4.89,24.972251999999997,4.46,22.776328,-0.02,-0.43%,47.86M,09/04
RAIADROGASIL ON,101.96,520.6893279999999,103.75,529.8305,99.8,509.65864,+0.57,+0.56%,2.09M,09/04
BBSEGURIDADE ON NM,25.78,131.653304,26.26,134.104568,25.41,129.763788,+0.27,+1.06%,3.43M,09/04
CVC BRASIL ON NM,12.95,66.13306,12.96,66.184128,11.75,60.0049,+1.20,+10.21%,7.24M,09/04
Smiles Fidelidade,14.3,73.02724,15.18,77.52122399999999,14.13,72.15908400000001,0.00,0.00%,1.31M,09/04
KLABIN S/A UNT N2,16.0,81.7088,16.65,85.02821999999999,15.77,80.53423599999999,-0.24,-1.48%,6.95M,09/04
Via Varejo,5.15,26.30002,5.54,28.291672,5.01,25.585067999999996,+0.12,+2.39%,113.72M,09/04
Banco BTG,41.75,213.2089,42.2,215.50696,40.18,205.19122399999998,+1.86,+4.66%,3.53M,09/04
Azul SA Pref,16.3,83.24084,17.6,89.87968000000001,16.02,81.810936,-0.49,-2.92%,12.70M,09/04
Atacadao,20.0,102.136,21.08,107.65134399999998,19.98,102.033864,-0.85,-4.08%,4.72M,09/04
IRB Brasil Resseguros,10.1,51.57868,10.7,54.642759999999996,9.86,50.353047999999994,-0.04,-0.39%,19.25M,09/04
Suzano Papel Celulose,35.4,180.78071999999997,38.44,196.30539199999998,35.2,179.75936000000002,-2.56,-6.74%,10.56M,09/04
Petrobras Distribuidora,19.42,99.17405600000001,20.47,104.53619599999999,19.05,97.28453999999999,+0.31,+1.62%,14.39M,09/04
Hapvida,48.86,249.518248,51.39,262.438452,48.48,247.57766399999997,-1.13,-2.26%,2.75M,09/04
Notre Dame,52.15,266.31962,53.72,274.337296,49.2,251.25456,+1.92,+3.82%,4.34M,09/04
BRADESCO ON,20.68,105.60862399999999,21.71,110.868628,20.68,105.60862399999999,-0.23,-1.10%,4.71M,09/04
Brasileira De Dist,63.3,323.26043999999996,66.67,340.470356,63.01,321.77946799999995,-2.70,-4.09%,999.70K,09/04
